Posição,Marca,Faturamento_Texto,Faturamento_Reais
1,Betano,"1,429 bilhões",1429000000
2,Bet365,741 bilhões,741000000
3,Sportingbet,540 bilhões,540000000
4,Esportes da Sorte,425 milhões,425000000
5,Superbet,361 milhões,361000000
6,Betnacional,359 milhões,359000000
7,7Games,285 milhões,285000000
8,EstrelaBet,175 milhões,175000000
9,VaideBet,164 milhões,164000000
10,Onabet,143 milhões,143000000
11,Blaze,115 milhões,115000000
12,H2Bet,97 milhões,97000000
13,Pixbet,85 milhões,85000000
14,Bet7K,83 milhões,83000000
15,CassinoPix,81 milhões,81000000
16,Betão,74 milhões,74000000
17,Novibet,72 milhões,72000000
18,BullsBet,67 milhões,67000000
19,Betfair,58 milhões,58000000
20,KTO,54 milhões,54000000
